recordID,Topic,Topic_ID,Course_List_R3,Course_ID_R3,Scheduling_R3,Grade_Filter,Grade_Text,Program_Description_R3,Combining&PlacementTips_R3,Subject,Resource_Assignments
receeKZBW7YRjLZv2,Bible History: Grade 9,004.009.001.006,Bible: Grade 9,004.009.001,1 time/week 30 min * ☐,"G9,",GRADE(S): 9,"This course uses the book God's Big Picture to give students a zoomed-out view of bible history and show the outline of God's Kingdom plan from beginning to end.
","Appropriate for any HS grades.
",Bible,001.001.000*God’s Big Picture: Tracing the Storyline of the Bible->Bible History: Grade 9
recxXpnf7IZkJRKX0,New Testament: Grades 10-11,004.010.001.002,Bible: Grades 10-11,004.010.001,1 time/week 30 min * ☐,"G10, G11,",GRADE(S): 10-11,"Each year in High School, students read one of the gospels along with several other New Testament epistles. Using their study bibles and other resources, students encounter scripture and seek to understand the cultural, historical, and theological context of their readings in order to more deeply appreciate the richness of the Bible and the humility needed in order to live out God's word today.
","Lessons in one of the gospels are shared across HS grades. The epistles scheduled in Grades 10-11 are a little more thematically challenging than those in Grade 9, but lessons may be combined with Grade 9 or Grade 12 if desired. Students new to reading the Bible for themselves or unused to commentaries or study notes may find the lessons in Grades 7-8 a gentler introduction to these study practices.
",Bible,001.001.000*The Chronological Guide to the Bible->New Testament: Grades 10-11|001.001.000*(Grades 9-12) NIV Cultural Backgrounds Study Bible: Bringing to Life the Ancient World of Scripture->New Testament: Grades 10-11
recyAMOsJVfBdGg0r,Church History: Grades 10-12,004.010.001.003,"Bible: Grades 10-11, Bible: Grade 12","004.010.001, 004.012.001",1 time/week 30 min * ☐,"G10, G11, G12,",GRADE(S): 10-12,"Using a survey of key events in the American church, articles, and extra resources on Christianity across the world in the lesson plans, this course gives students a personal and big picture look at church history during the 19th century.
","If students are new to the study of church history, they should follow the lessons for Church History: Grades 7-9 and choose between the bio scheduled there and the bio used in this course.
",Bible,000.003.000*Church History in Plain Language (5th ed)->Church History: Grades 10-12|001.003.000*The Catholic Church Through the Ages (2nd ed)->Church History: Grades 10-12|001.003.000*When the Church Was Young: Voices of the Early Fathers->Church History: Grades 10-12
recMaPKBscCmVvdjg,Spiritual Formation: Grades 10-11,004.010.001.005,Bible: Grades 10-11,004.010.001,1 time/week 30 min * ☐,"G10, G11,",GRADE(S): 10-11,"Spiritual formation courses cover particular topics in the Christian life to encourage and deepen students' faith. This course introduces them to systematic theology and the ways theologians look at the whole of Scripture to summarize key doctrines of the faith. In addition to considering some of these ideas, such as the doctrine of sin and salvation, students will ponder what it means to love a God who is three in one.
","Can be combined with Grade 12 students. Students new to spiritual formation topics should begin with Spiritual Formation: Grades 7-8 or Bible History in Grade 9.
",Bible,
recnlqVyRwJevCyvy,New Testament: Grade 12,004.012.001.002,Bible: Grade 12,004.012.001,1 time/week 30 min * ,"G12,",GRADE(S): 12,"Each year in high school, students read one of the gospels along with several other New Testament epistles. Using their Study Bibles and other resources, students encounter scripture and seek to understand the cultural, historical, and theological context of their readings in order to more deeply appreciate the richness of the Bible and the humility needed in order to live out God's word today.
","Lessons in one of the gospels are shared across HS grades. Some epistles studied in Grade 12 are more challenging than those in younger grades, but lessons can be combined if desired. Students new to reading the Bible for themselves or unused to commentaries or study notes may find the lessons in Grades 7-8 a gentler introduction to these study practices.
",Bible,001.001.000*The Chronological Guide to the Bible->New Testament: Grade 12|001.001.000*(Grades 9-12) NIV Cultural Backgrounds Study Bible: Bringing to Life the Ancient World of Scripture->New Testament: Grade 12
recSOLOkJU4e0fEl7,Spiritual Formation: Grade 12,004.012.001.005,Bible: Grade 12,004.012.001,1 time/week 30 min * ,"G12,",GRADE(S): 12,"Spiritual formation courses cover particular topics in the Christian life to encourage and deepen students' faith. This course helps students deepen their study of the scriptures, reflect on what it means to be an embodied soul made in God's image, and deepen their delight in God.
","Appropriate for interested students in Grades 10-11.
",Bible,001.001.000*Journey into God's Word->Spiritual Formation: Grade 12
recK6iLGNWoRKLZKj,First Citizen Stories,005.004.001.001,Citizenship: Grade 4,005.004.001,1 time/week 20 min * 🅃,"G4,",GRADE(S): 4,"Read engaging and accessible stories from Roman history that introduce big ideas about what it means to be a citizen. This provides a foundation for further study in Plutarch.
","Sensitive students may wait a year to begin Citizen Stories. (The book used in this course contains some violent scenes.)
",Citizenship,001.001.000*Stories From the History of Rome->First Citizen Stories|001.001.000*Historical Atlas of the World 6th Ed.->First Citizen Stories
recXNvUndzlFnI497,Plutarch: Beginner Track,005.005.001.001,Citizenship: Grade 5,005.005.001,1 time/week 30 min * 🅃,"G5,",GRADE(S): 5+,"This set of lesson plans eases students into Plutarch lessons with one of his most engaging and accessible lives so that students don't miss this important book that Mason valued so highly.
","Older students beginning Plutarch for the first time may wish to start with this level as a replacement for other Plutarch lessons.
",Citizenship,001.001.000*The Plutarch Project Primer: Publicola (Revised)->Plutarch: Beginner Track
recKONDSThlDgo2sF,Current Events: Grades 5-8,005.005.001.005,"Citizenship: Grade 5, Citizenship: Grade 6, Citizenship: Grade 7 (U.S.), Citizenship: Grade 7 (Canada), Citizenship: Grade 8 (U.S.), Citizenship: Grade 8 (Canada)","005.005.001, 005.006.001, 005.007.001, 005.007.002, 005.008.001, 005.008.002",1 time/week 15 min *or_ ⬔,"G5, G6, G7, G7, G8, G8,",GRADE(S): 5-8,"Students are exposed to current events by reading from a variety of sources and having age-appropriate conversations with teachers. Topics such as scientific discoveries, the arts, and human interest stories are generally suitable.
",,Citizenship,
recNZjfwI3SeCuONn,Plutarch: Grades 6-8,005.006.001.001,"Citizenship: Grade 6, Citizenship: Grade 7 (U.S.), Citizenship: Grade 7 (Canada), Citizenship: Grade 8 (U.S.), Citizenship: Grade 8 (Canada)","005.006.001, 005.007.001, 005.007.002, 005.008.001, 005.008.002",1 time/week 30 min * 🅃,"G6, G7, G7, G8, G8,",GRADE(S): 6-8+,"Plutarch’s Lives is a collection of biographies written 2,000 years ago, which has influenced prominent thinkers from Montaigne to Bacon to Shakespeare. Plutarch’s stories are often difficult to read (and are therefore often dropped by teachers), but their value to help students evaluate the characteristics that define a good citizen cannot be overstated. The lesson plans will contain additional support to what is already included in the Anne White guides.
","Students in 5th grade or new to Plutarch may want to take the Beginner's Track, which covers the life of Publicola over two terms. It is advisable to have students read Beesly’s Stories From the History of Rome and complete one year of Shakespeare before beginning Plutarch.
",Citizenship,001.001.000*Historical Atlas of the World 6th Ed.->Plutarch: Grades 6-8
recdq6lu7MCE3kUuC,American Government: Grade 7,005.007.001.002,Citizenship: Grade 7 (U.S.),005.007.001,1 time/week 30 min * 🅃,"G7,",GRADE(S): 7,"Students will gain a better understanding of the foundation of American democracy as they learn about the key principles of the Constitution, including the separation of powers, checks and balances, and the responsibilities of each branch of government. There will be a special focus on the Bill of Rights so students understand their rights as citizens and the limits of the government. Supplemental material is provided through articles, videos, and Supreme Court cases. Students will engage with these ideas using their Citizenship notebook.
","If 8th-grade students have not taken this course or studied the Constitution, they should consider taking it instead of the 8th-grade option.
",Citizenship,
recAh0bSY9eyBBZYK,Ethics: Part 1,005.007.001.003,"Citizenship: Grade 7 (U.S.), Citizenship: Grade 7 (Canada)","005.007.001, 005.007.002",1 time/week 25 min * 🅃,"G7, G7,",GRADE(S): 7+,"One of Mason’s main pillars is that the student is born a “person.” Ourselves is the book in which she defines that term, and it is the only volume she wrote directly to students. The book is divided into two parts. We use Ourselves Part 1 in Grades 7-9 and Part 2 in Grades 10-11, as Mason did in her own schools. In these books, students will explore characteristics shared by all Image-Bearers and learn how to guard against good servants becoming bad masters with Charlotte Mason's text written directly to students.
","Ourselves by Charlotte Mason is scheduled over five years. In a multi-age context, students can jump into the book wherever the class is reading. Otherwise, students should begin the book in Part 1.
",Citizenship,001.002.000*Ourselves: Book 1->Ethics: Part 1
recLODggpyhEYe59M,Canadian Government: Grade 7,005.007.002.002,Citizenship: Grade 7 (Canada),005.007.002,1 time/week 25 min * 🅃,"G7,",GRADE(S): 7,"Students learn about the electoral process, the different aspects of parliamentary government, the Canadian legal system, and the concept of citizenship.
",,Citizenship,001.003.000*Building the Canadian Nation (1953 or 1958 edition)->Canadian Government: Grade 7|001.003.000*Parliament: Canada's Democracy and How It Works->Canadian Government: Grade 7
rec46I88QSFQIJwng,American Gov./ Economics: Grade 8,005.008.001.002,Citizenship: Grade 8 (U.S.),005.008.001,1 time/week 30 min * 🅃,"G8,",GRADE(S): 8,"Students spend a term learning the structure of our local and state governments, then turn to key primary source documents related to our government before ending the year with an introduction to economics, focusing on the history of money, the banking system, and personal finance.
","If a student hasn't studied the Constitution, consider having them take the 7th-grade government course first.
",Citizenship,003.001.000*Dollars and Sense: A Kid's Guide to Using - Not Losing - Money->American Gov./ Economics: Grade 8
recUtBqECZE6X45Nt,Ethics: Part 2,005.008.001.003,"Citizenship: Grade 8 (U.S.), Citizenship: Grade 8 (Canada)","005.008.001, 005.008.002",1 time/week 25 min * 🅃,"G8, G8,",GRADE(S): 8+,"Explore characteristics shared by all Image-Bearers and learn how to guard against good servants becoming bad masters by continuing Charlotte Mason's text written directly to students.
","Ourselves by Charlotte Mason is scheduled over five years. In a multi-age context, students can jump into the book wherever the class is reading. Otherwise, students should begin the book in Part 1.
",Citizenship,001.002.000*Ourselves: Book 1->Ethics: Part 2
rec8rP4OZOxbQrWlK,Canadian Gov./ Economics: Grade 8,005.008.002.002,Citizenship: Grade 8 (Canada),005.008.002,1 time/week 25 min * 🅃,"G8,",GRADE(S): 8,"Students spend a term learning the structure of our local and provincial authorities, then turn to key primary source documents related to our government before ending the year with an introduction to economics, focusing on the history of money, the banking system, and personal finance.
","
",Citizenship,003.001.000*Dollars and Sense: A Kid's Guide to Using - Not Losing - Money->Canadian Gov./ Economics: Grade 8
recRFlZuJbs8WPB2T,Plutarch/Government: Grade 9,005.009.000.001,Citizenship: Grade 9,005.009.000,1 time/week 30 min * 🅃,"G9,",GRADE(S): 9,"Students study a life by Plutarch for two terms and then spend the rest of the year exploring the philosophical foundations and practical implications of the United States' founding documents, including the Declaration of Independence and the Constitution.
","Plutarch lessons are shared with Grades 6-8, and the final term of government lessons is shared with Grades 10-11, and are also suitable for inquisitive 8th graders.
",Citizenship,
reciA3o7lcUcEINWo,Ethics: Part 3,005.009.000.003,Citizenship: Grade 9,005.009.000,1 time/week 25 min * 🅃,"G9,",GRADE(S): 9+,"Explore characteristics shared by all Image-Bearers and learn how to guard against good servants becoming bad masters by continuing Charlotte Mason's text written directly to students. Students finish Book I of Ourselves by the end of the course.
","Ourselves by Charlotte Mason is scheduled over five years. In a multi-age context, students can jump into the book wherever the class is reading. Otherwise, students should begin the book in Part 1.
",Citizenship,001.002.000*Ourselves: Book 1->Ethics: Part 3
recqPFlXwOkzzE9g5,Current Events: Grades 9-12,005.009.000.005,"Citizenship: Grade 9, Citizenship: Grade 10, Citizenship: Grade 11, Citizenship: Grade 12","005.009.000, 005.010.001, 005.011.001, 005.012.001",1 time/week 20 min _ ,"G9, G10, G11, G12,",GRADE(S): 9-12,"Students are exposed to current events by reading from a variety of sources and having conversations with teachers. Topics such as scientific discoveries, the arts, and human interest stories are generally suitable.
",,Citizenship,
receYVcsBWVNyLXLS,Econ/ Civics: Grade 10,005.010.001.002,Citizenship: Grade 10,005.010.001,1 time/week 40 min * 🅃,"G10,",GRADE(S): 10,"This covers a variety of citizenship topics. Students spend the first term reflecting on the value of thinking for the Christian life or on building helpful habits. The second term focuses on government and helps students explore the philosophical foundations and practical implications of the United States' founding documents, including the Declaration of Independence and the Constitution. The year finishes with a term of economics where students learn a variety of economic theories.
","Lessons are occasionally integrated with composition lessons. Term 2 Government lessons are shared with Grades 9 and 11.
",Citizenship,001.003.000*If You Can Keep It->Econ/ Civics: Grade 10|003.003.000*Home Economics: Fourteen Essays->Econ/ Civics: Grade 10
recpeWeqaT2ZQAYYl,Ethics: Part 4,005.010.001.003,Citizenship: Grade 10,005.010.001,1 time/week 20 min * 🅃,"G10,",GRADE(S): 10+,"Explore characteristics shared by all Image-Bearers and learn how to guard against good servants becoming bad masters by continuing Charlotte Mason's text written directly to students. Students begin Book II in this course and finish it in Part 5.
","Ourselves by Charlotte Mason is scheduled over five years. In a multi-age context, students can jump into the book wherever the class is reading. Otherwise, students should begin the book in Part 1.
",Citizenship,001.002.000*Ourselves Book 2: Self-Direction->Ethics: Part 4
rec7b6nmpi8HTZ9JX,Econ/ Civics: Grade 11,005.011.001.002,Citizenship: Grade 11,005.011.001,1 time/week 40 min * 🅃,"G11,",GRADE(S): 11,"This covers a variety of citizenship topics. Students spend the first term learning about various ways to engage with topics in contemporary culture. The second term focuses on government and helps students explore the philosophical foundations and practical implications of the United States' founding documents, including the Declaration of Independence and the Constitution. The year finishes with a term of economics where students learn a variety of economic theories.
","Lessons are occasionally integrated with composition lessons. Government lessons in Term 2 are shared with Grades 9-10, and the economics lessons finish the book began in Term 3 of Grade 10.
",Citizenship,001.003.000*If You Can Keep It->Econ/ Civics: Grade 11|003.001.000*What Would Keynes Do?->Econ/ Civics: Grade 11
rec61CKvvCBBN5gkW,Ethics: Part 5,005.011.001.003,Citizenship: Grade 11,005.011.001,1 time/week 20 min * 🅃,"G11,",GRADE(S): 11+,"Explore characteristics shared by all Image-Bearers and learn how to guard against good servants becoming bad masters by continuing Charlotte Mason's text written directly to students. Students finish Book II in this course.
","Ourselves by Charlotte Mason is scheduled over five years. In a multi-age context, students can jump into the book wherever the class is reading. Otherwise, students should begin the book in Part 1.
",Citizenship,001.002.001*Ourselves Book 2: Self-Direction->Ethics: Part 5
rec54v9pWjwaKBC2s,Econ/ Civics: Grade 12,005.012.001.002,Citizenship: Grade 12,005.012.001,1 time/week 40 min * ,"G12,",GRADE(S): 12,"Students study basic principles of economics and finish the year learning about various ways to engage with topics in contemporary culture.
",,Citizenship,001.003.000*If You Can Keep It->Econ/ Civics: Grade 12|001.003.000*Economics in One Lesson->Econ/ Civics: Grade 12
recISQurkNxA8MJna,Ethics: Grade 12,005.012.001.004,Citizenship: Grade 12,005.012.001,1 time/week 40 min * ,"G12,",GRADE(S): 12,"Students study citizenship topics of stewardship, relationships in a technological world, and understanding our consciences.
",,Citizenship,"003.001.000*Conscience: What It Is, How to Train It, and Loving Those Who Differ->Ethics: Grade 12"
rec9nMxj7clnqmYXN,Reading Level 1,006.001.001.001,Language Study: Grade 1,006.001.001,5 times/week 15 min * 🅃,"G1,",GRADE(S): 1,"Lessons will include more phonological awareness (knowledge of sounds) and phonics (knowledge of the letters that represent those sounds). While Charlotte Mason didn't use these terms, her methods of teaching reading using alphabet and word-making activities align well with these important skills. A large body of research from the past 50 years tells us that focused phonics instruction is important for all children in the early elementary grades. The additional instruction will be blended into the current lessons from the Free and Treadwell Readers. Lessons also incorporate copywork, dictation, and etymology.
","Students who can already read may use the stories for reading practice, but focus mainly on the spelling and grammar elements, including copywork and dictation. 

Prerequisite: Students should recognize upper- and lower-case letters and know most of their sounds prior to starting this course.
",English,001.001.000*Reading-Literature: The Primer->Reading Level 1|001.001.000*Reading Lessons: Level 1 (Revised 2025)->Reading Level 1
rechytOsXSZMpW9Lv,Penmanship & Copywork: Grade 1,006.001.001.005,Language Study: Grade 1,006.001.001,5 times/week 10 min * ⬔,"G1,",GRADE(S): 1,"Copy letters and words and write them from dictation.
",,English,001.001.000*Italics: Beautiful Handwriting for Children->Penmanship & Copywork: Grade 1|001.001.000*Getty-Dubay® Italic Handwriting Book B->Penmanship & Copywork: Grade 1
recW0CmfSrc3CfXE3,Reading Level 2,006.001.002.001,Language Study: Grade 2,006.001.002,5 times/week 15 min * 🅃,"G2,",GRADE(S): 2,"Lessons will include more phonological awareness (knowledge of sounds) and phonics (knowledge of the letters that represent those sounds). While Charlotte Mason didn’t use these terms, her methods of teaching reading using alphabet and word-making activities align well with these important skills. A large body of research from the past 50 years tells us that focused phonics instruction is important for all children in the early elementary grades. The additional instruction will be blended into the current lessons from the Free and Treadwell Readers. Lessons also incorporate copywork, dictation, and etymology.
","Students who can already read may use the stories for reading practice, but focus mainly on the spelling and grammar elements, including copywork and dictation.

Prerequisite: Beginning Reading & Lang. Level 1 or appropriate skill proficiency.
",English,001.001.000*Reading-Literature: First Reader->Reading Level 2|001.001.000*Reading Lessons: Level 2 (Revised 2025)->Reading Level 2
recljSRvEqiPqYeT3,Penmanship & Copywork: Grade 2,006.001.002.005,Language Study: Grade 2,006.001.002,5 times/week 10 min * ⬔,"G2,",GRADE(S): 2,"Copy words and short sentences and write them from dictation.
",,English,001.001.000*Italics: Beautiful Handwriting for Children->Penmanship & Copywork: Grade 2|001.001.000*Getty-Dubay® Italic Handwriting Book C->Penmanship & Copywork: Grade 2
recZGVMJzb5q6czhu,Reading Level 3,006.001.003.001,Language Study: Grade 3,006.001.003,5 times/week 15 min * 🅃,"G3,",GRADE(S): 3,"Lessons will include phonological awareness (knowledge of sounds) and phonics (knowledge of the letters that represent those sounds). While Charlotte Mason didn’t use these terms, her methods of teaching reading using alphabet and word-making activities align well with these important skills. A large body of research from the past 50 years tells us that focused phonics instruction is important for all children in the early elementary grades. The additional instruction will be blended into the lessons from the Free and Treadwell Readers. Lessons also incorporate copywork, dictation, and etymology.
","Students who can already read may use the stories for reading practice, but focus mainly on the spelling and grammar elements, including copywork and dictation. 

Prerequisite: Beginning Reading & Lang. Level 2 or appropriate skill proficiency.
",English,001.001.000*Reading-Literature: Second Reader->Reading Level 3|001.001.000*Reading Lessons: Level 3->Reading Level 3
rec5rnTiExW1WHSTC,Penmanship & Copywork: Grade 3,006.001.003.004,Language Study: Grade 3,006.001.003,5 times/week 10 min * ⬔,"G3,",GRADE(S): 3,"Copy short sentences and write them from dictation.
",,English,001.001.000*Italics: Beautiful Handwriting for Children->Penmanship & Copywork: Grade 3|001.001.000*Getty-Dubay® Italic Handwriting Book D->Penmanship & Copywork: Grade 3
recQ3HXhu03p6uenW,Written Narration: Grade 3,006.001.003.005,Language Study: Grade 3,006.001.003,1 time/week 10 min * 🅃,"G3,",GRADE(S): 3,"Students begin writing narrations or a part of a narration as appropriate.
","Students who are not yet secure with their penmanship are not yet ready for written narration. Instead of written narrations, use the time to have students work on skills that will better support their development.
",English,
reckgBhOzzgwf3mBm,Grammar: Grade 4,006.001.004.002,Language Study: Grade 4,006.001.004,2 times/week 15 min * 🅃,"G4,",GRADE(S): 4,"Students learn the parts of speech through a four-part analysis.
",,English,001.001.000*Grammar Island->Grammar: Grade 4|001.001.000*Grammar Island Teacher Manual (select pages)->Grammar: Grade 4|003.001.000*Practice Island->Grammar: Grade 4|003.001.000*Practice Island Teacher Manual (select pages)->Grammar: Grade 4
recA9XI2SPG8InfRh,Dictation: Grade 4,006.001.004.003,Language Study: Grade 4,006.001.004,3 times/week 15 min * ⬔,"G4,",GRADE(S): 4,"Students use selected passages to practice dictation skills. (Alveary Copywork & Dictation Books provide selected passages).
",,English,001.003.000*Grade 4 Copywork & Dictation Book->Dictation: Grade 4
recZeyRAwXUty0C7f,Penmanship & Copywork: Grade 4,006.001.004.004,Language Study: Grade 4,006.001.004,5 times/week 10 min * ☐,"G4,",GRADE(S): 4,"Students copy short passages from their books. (Alveary Copywork & Dictation Books provide selected passages).
",,English,001.001.000*Italics: Beautiful Handwriting for Children->Penmanship & Copywork: Grade 4|001.001.000*Getty-Dubay® Italic Handwriting Book E->Penmanship & Copywork: Grade 4|001.003.000*Grade 4 Copywork & Dictation Book->Penmanship & Copywork: Grade 4
recUMJ5ycwas6PmwS,Written Narration: Grade 4,006.001.004.005,Language Study: Grade 4,006.001.004,1 time/week 10 min * ⬔,"G4,",GRADE(S): 4,"Students begin to make written narrations a weekly habit.
","Students who are not yet secure with their penmanship are not yet ready for written narration. Instead of written narrations, use the time to have students work on skills that will better support their development. Also, be sure to include typing in life skills!
",English,
