recordID,Resource Assignment,Edit_ResourceDetails,R1,R2,R3,R4,Assignments_T1,Assignments_T2,Assignments_T3,ImageFORMULA,Shared_RollUp_Rotation 1,Shared_RollUp_Rotation 2,Shared_RollUp_Rotation 3,Shared_RollUp_Rotation 4,Resource_Key,Sort_ID,Grade_Filter,Resource_Information_Text,Scope,Link 1 url,Link 2 url,Link 1 text,Link 2 text,Edit_ResourceAssignmentsURL(R1),Edit_ResourceAssignmentsURL(R2),Edit_ResourceAssignmentsURL(R3),Edit_ResourceAssignmentsURL(R4)
recreBCiddMnmZWlF,001.004.000*ESV Large Print Bible->New Testament: Grade 3,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=recsZKTv4JyW3fDXQ,,,,R4,ESV Large Print Bible (Full Term - John),ESV Large Print Bible (Full Term - John),ESV Large Print Bible (Full Term - John),,"Old Testament: Grade 2
Old Testament: Grades 3-6
New Testament: Grade 2
New Testament: Grade 3-6","Old Testament: Grade 2
New Testament: Grade 2
Old Testament: Grades 3-6
New Testament: Grade 3-6","Old Testament: Grade 2
New Testament: Grade 2
Old Testament: Grades 3-6
New Testament: Grade 3-6","Old Testament: Grade 2
New Testament: Grade 2
Old Testament: Grades 3-6
New Testament: Grade 3
New Testament: Grades 4-6",001.004.000,.002.001.000,,"ESV Large Print Bible
ISBN/ASIN 978-1433541537 
Alternate Formats: Ebook, Audiobook

➜ RATIONALE: This large-print ESV Bible uses 12-point type for ease of reading

➜ May sub a translation of your choice.","Term 1
Term 2
Term 3",https://a.co/d/7eqiewO,https://www.christianbook.com/Christian/Books/product?event=AFF&amp;p=1226126&amp;item_no=541537,Option 1,Option 2,,,,
recVUCCq8xTSE2C8d,001.004.000*ESV Large Print Bible->New Testament: Grades 4-6,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=recsZKTv4JyW3fDXQ,,,,R4,ESV Large Print Bible (Full Term - Matthew),ESV Large Print Bible (Full Term - Matthew),ESV Large Print Bible (Full Term - Matthew),,"Old Testament: Grade 2
Old Testament: Grades 3-6
New Testament: Grade 2
New Testament: Grade 3-6","Old Testament: Grade 2
New Testament: Grade 2
Old Testament: Grades 3-6
New Testament: Grade 3-6","Old Testament: Grade 2
New Testament: Grade 2
Old Testament: Grades 3-6
New Testament: Grade 3-6","Old Testament: Grade 2
New Testament: Grade 2
Old Testament: Grades 3-6
New Testament: Grade 3
New Testament: Grades 4-6",001.004.000,.002.001.000,,"ESV Large Print Bible
ISBN/ASIN 978-1433541537 
Alternate Formats: Ebook, Audiobook

➜ RATIONALE: This large-print ESV Bible uses 12-point type for ease of reading

➜ May sub a translation of your choice.","Term 1
Term 2
Term 3",https://a.co/d/7eqiewO,https://www.christianbook.com/Christian/Books/product?event=AFF&amp;p=1226126&amp;item_no=541537,Option 1,Option 2,,,,
recoS3l0ZBikLsbo1,001.004.000*God's Bible Timeline: The Big Book of Biblical History->New Testament: Grade 3,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=recMR6sOEfasLRFY5,,,,R4,God's Bible Timeline: The Big Book of Biblical History (Selections),God's Bible Timeline: The Big Book of Biblical History (Selections),God's Bible Timeline: The Big Book of Biblical History (Selections),,"Old Testament: Grade 2
New Testament: Grade 2","Old Testament: Grade 2
New Testament: Grade 2","Old Testament: Grade 2
New Testament: Grade 2","Old Testament: Grade 2
New Testament: Grade 2
Old Testament: Grades 3-6
New Testament: Grade 3
New Testament: Grades 4-6",001.004.000,.002.001.000,,"God's Bible Timeline: The Big Book of Biblical History by Linda Finlayson
ISBN/ASIN 978-1527105904 

➜ RATIONALE: Contains age-appropriate commentary on the eras of the Bible, along with detailed timelines, known dates, and a timeline poster. Lessons will refer to the timeline when reviewing stories and events. 

NOTE: 20% discount code available at the Option 1 link.
DISCOUNT: 20% with code ALVEARY","Term 1 (Selections)
Term 2 (Selections)
Term 3 (Selections)",https://www.christianfocus.com/en-us/product/9781527105904/gods-bible-timeline-hardback,https://smile.amazon.com/gp/product/1527105903/,Option 1,Option 2,,,,
recebXeFGNNHyL7oi,001.004.000*God's Bible Timeline: The Big Book of Biblical History->New Testament: Grades 4-6,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=recMR6sOEfasLRFY5,,,,R4,God's Bible Timeline: The Big Book of Biblical History (Selections),God's Bible Timeline: The Big Book of Biblical History (Selections),God's Bible Timeline: The Big Book of Biblical History (Selections),,"Old Testament: Grade 2
New Testament: Grade 2","Old Testament: Grade 2
New Testament: Grade 2","Old Testament: Grade 2
New Testament: Grade 2","Old Testament: Grade 2
New Testament: Grade 2
Old Testament: Grades 3-6
New Testament: Grade 3
New Testament: Grades 4-6",001.004.000,.002.001.000,,"God's Bible Timeline: The Big Book of Biblical History by Linda Finlayson
ISBN/ASIN 978-1527105904 

➜ RATIONALE: Contains age-appropriate commentary on the eras of the Bible, along with detailed timelines, known dates, and a timeline poster. Lessons will refer to the timeline when reviewing stories and events. 

NOTE: 20% discount code available at the Option 1 link.
DISCOUNT: 20% with code ALVEARY","Term 1 (Selections)
Term 2 (Selections)
Term 3 (Selections)",https://www.christianfocus.com/en-us/product/9781527105904/gods-bible-timeline-hardback,https://smile.amazon.com/gp/product/1527105903/,Option 1,Option 2,,,,
recH6oj7xUQXs8HzR,001.004.000*The Bible Story Handbook->New Testament: Grade 3,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=recQoz4oedXQGF2Kt,,,,R4,The Bible Story Handbook,The Bible Story Handbook,The Bible Story Handbook,,"Old Testament: Grade 2
New Testament: Grade 2","Old Testament: Grade 2
New Testament: Grade 2","Old Testament: Grade 2
New Testament: Grade 2","Old Testament: Grade 2
New Testament: Grade 2
Old Testament: Grades 3-6
New Testament: Grade 3
New Testament: Grades 4-6",001.004.000,.002.001.000,,"The Bible Story Handbook by John and Kim Walton
ISBN/ASIN 978-1433506482 
Alternate Formats: Ebook

➜ RATIONALE: This teacher resource from Bible scholar John Walton and his wife, Kim, provides helpful background information for teaching the Bible. In a succinct manner, they offer the biblical context, interpretational issues, and mistakes to avoid for numerous Biblical passages.

NOTE: This is a teacher resource to be read before the lesson. At times, the lesson plans may highlight certain sections. We encourage teachers to preview the selections and choose what ideas to share or discuss with their students.","Term 1
Term 2
Term 3",https://smile.amazon.com/Bible-Story-Handbook-Resource-Teaching/dp/1433506483/,https://www.christianbook.com/Christian/Books/product?event=AFF&amp;p=1226126&amp;item_no=506482,Option 1,Option 2,,,,
recTeFANXmuRkqRGK,001.004.000*The Bible Story Handbook->New Testament: Grades 4-6,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=recQoz4oedXQGF2Kt,,,,R4,The Bible Story Handbook,The Bible Story Handbook,The Bible Story Handbook,,"Old Testament: Grade 2
New Testament: Grade 2","Old Testament: Grade 2
New Testament: Grade 2","Old Testament: Grade 2
New Testament: Grade 2","Old Testament: Grade 2
New Testament: Grade 2
Old Testament: Grades 3-6
New Testament: Grade 3
New Testament: Grades 4-6",001.004.000,.002.001.000,,"The Bible Story Handbook by John and Kim Walton
ISBN/ASIN 978-1433506482 
Alternate Formats: Ebook

➜ RATIONALE: This teacher resource from Bible scholar John Walton and his wife, Kim, provides helpful background information for teaching the Bible. In a succinct manner, they offer the biblical context, interpretational issues, and mistakes to avoid for numerous Biblical passages.

NOTE: This is a teacher resource to be read before the lesson. At times, the lesson plans may highlight certain sections. We encourage teachers to preview the selections and choose what ideas to share or discuss with their students.","Term 1
Term 2
Term 3",https://smile.amazon.com/Bible-Story-Handbook-Resource-Teaching/dp/1433506483/,https://www.christianbook.com/Christian/Books/product?event=AFF&amp;p=1226126&amp;item_no=506482,Option 1,Option 2,,,,
recG43KKHakoW6ofu,001.004.000*Gladys Aylward: The Little Woman->Missionary Biographies: Grades 3-6,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=recUw0LF2RsCjTDO8,,,,R4,Gladys Aylward: The Little Woman (Full Term),,,,,,,"Bible Stories
Missionary Biographies: Grade 2
Missionary Biographies: Grades 3-6",001.004.000,.004.001.000,,"Gladys Aylward: The Little Woman by Gladys Aylward
ISBN/ASIN 978-0802429865 
Alternate Formats: Ebook, Audiobook

➜ RATIONALE: This engaging missionary biography will inspire students as they read about Gladys Aylward's (1902-1970) willingness to be used by God to serve people in China. Students will also gain an understanding of the cultural and historical context of China during the early 20th century.",Term 1,https://smile.amazon.com/Gladys-Aylward-Little-Woman/dp/0802429866/,https://bookshop.org/a/90084/9780802429865,Option 1,Option 2,,,,
recche6N5oFeFkY2j,002.004.000*God's Smuggler (Young Reader's Edition)->Missionary Biographies: Grades 3-6,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=recq1CU25BWPLTBfO,,,,R4,,God's Smuggler (Young Reader's Edition) (Full Term),,,,,,,002.004.000,.004.002.000,,"God's Smuggler (Young Reader's Edition) by Brother Andrew
ISBN/ASIN 9780800798055 
Alternate Formats: Ebook, Audiobook

➜ RATIONALE: This young reader's edition depicts Brother Andrew's adventures from a boy in Holland to an adult transporting Bibles during the Cold War into communist countries where it is illegal to be a Christian. ",Term 2,https://www.rainbowresource.com/product/036205/Gods-Smuggler-Young-Readers-Edition.html?,https://www.christianbook.com/Christian/Books/product?event=AFF&amp;p=1226126&amp;item_no=798055,Option 1,Option 2,,,,
recH75X9FtF6VtuLi,003.004.000*Teresa of Calcutta->Missionary Biographies: Grades 3-6,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=rec2V0uV0ZVQLD5Tl,,,,R4,,,Teresa of Calcutta (Full Term),,,,,"Bible Stories
Missionary Biographies: Grade 2
Missionary Biographies: Grades 3-6",003.004.000,.004.003.000,,"Teresa of Calcutta by D. Jeanene Watson
ISBN/ASIN 978-0880620123 
Alternate Formats: Ebook

➜ RATIONALE: This missionary biography tells about the life of Mother Teresa (1910-1997) who dedicated her life to God and helping the poor in India.",Term 3,https://smile.amazon.com/Teresa-Calcutta-Serving-Poorest-Sower/dp/0880620129/,https://www.christianbook.com/Christian/Books/product?event=AFF&amp;p=1226126&amp;item_no=91421,Option 1,Option 2,,,,
recFF8emJKi8AZiNa,No Connection,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=,,,,, (Full Term - Whole Work),,,,,,,,001.004.000,000.000.000.000.001.000,,,Term 1,,,,,,,,
recWCWdSsBvH0sXsg,No Connection,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=,,,,,,,,,,,,,001.004.000,000.000.000.000.001.000,,,"Term 1
Term 2
Term 3",,,,,,,,
recRAEz0DEZvXgIbv,No Connection,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=,,,,,,,,,,,,,001.004.000,000.000.000.000.001.000,,,"Term 1
Term 2
Term 3",,,,,,,,
recWyvhYdx5NJoDeF,No Connection,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=,,,,,,,,,,,,,001.004.000,000.000.000.000.001.000,,,"Term 1
Term 2
Term 3",,,,,,,,
recXA5ZZIQuAELmwA,No Connection,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=,,,,, (Full Term), (Full Term), (Full Term),,,,,,001.004.000,000.000.000.000.001.000,,,"Term 1
Term 2
Term 3",,,,,,,,
recILigUZqp86Zxm6,No Connection,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=,,,,,,,,,,,,,001.004.000,000.000.000.000.001.000,,,"Term 1
Term 2
Term 3",,,,,,,,
recvv3EDUII6LrFiz,No Connection,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=,,,,,,,,,,,,,001.004.000,000.000.000.000.001.000,,,"Term 1
Term 2
Term 3",,,,,,,,
recXadEZ9GjFKU5W4,No Connection,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=,,,,, (Full Term), (Full Term), (Full Term),,,,,,001.004.000,000.000.000.000.001.000,,,"Term 1
Term 2
Term 3",,,,,,,,
recS3KSbexv7jWn5o,No Connection,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=,,,,, (Full Term), (Full Term), (Full Term),,,,,,001.004.000,000.000.000.000.001.000,,,"Term 1
Term 2
Term 3",,,,,,,,
rec9iZZPwquXuNUxZ,No Connection,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=,,,,, (Full Term), (Full Term), (Full Term),,,,,,001.004.000,000.000.000.000.001.000,,,"Term 1
Term 2
Term 3",,,,,,,,
rec4o7Fu1iaSNuay0,No Connection,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=,,,,, (Full Term), (Full Term), (Full Term),,,,,,001.004.000,000.000.000.000.001.000,,,"Term 1
Term 2
Term 3",,,,,,,,
recJbIUpHigupk18E,No Connection,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=,,,,, (Full Term), (Full Term), (Full Term),,,,,,001.004.000,000.000.000.000.001.000,,,"Term 1
Term 2
Term 3",,,,,,,,
recMMlBs4ZvHSJXTB,No Connection,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=rec3eXKhErbssbYmV,,,,,The Puritan Dilemma: The Story of John Winthrop (Full Term),,,,,,,,001.004.000,000.000.000.000.001.000,,"The Puritan Dilemma: The Story of John Winthrop by Edmund Morgan
ISBN/ASIN 978-0321478061 

➜ RATIONALE: A very readable biography that brings the time period to life.

➜ May sub earlier edition",Term 1,https://a.co/d/7w1cAPn,https://click.linksynergy.com/deeplink?id=cNWFgTua3f0&mid=24808&murl=https%3A%2F%2Fwww.pearson.com%2Fen-us%2Fsubject-catalog%2Fp%2Fpuritan-dilemma-the-the-story-of-john-winthrop%2FP200000002957%2F9780321478061,Option 1,Option 2,,,,
reco7FAqq8t4j0fbd,No Connection,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=,,,,, (Selections),, (Selections),,,,,,001.004.000,000.000.000.000.001.000,,,"Term 1 (Selections)
Term 3 (Selections)",,,,,,,,
recak3i77zkF2AgAN,No Connection,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=,,,,, (Selections), (Selections), (Selections),,,,,,001.004.000,000.000.000.000.001.000,,,"Term 1 (Selections)
Term 2 (Selections)
Term 3 (Selections)",,,,,,,,
rec3awivBd8m2liPU,No Connection,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=,,,,, (Full Term), (Full Term), (Full Term),,,,,,001.004.000,000.000.000.000.001.000,,,"Term 1
Term 2
Term 3",,,,,,,,
reccgySbGBSaTr46s,No Connection,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=,,,,, (Full Term - p.5-176 (selections)), (Full Term - p.177-353 (selections)),,,,,,,001.004.000,000.000.000.000.001.000,,,"Term 1
Term 2",,,,,,,,
recbvjufJNRc4Fa46,No Connection,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=,,,,, (Full Term), (Full Term), (Full Term),,,,,,001.004.000,000.000.000.000.001.000,,,"Term 1
Term 2
Term 3",,,,,,,,
recZ8fcO9R39ISdiV,No Connection,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=recFUAXyyf7hQS1ai,,,,,Knowing God's Truth (Full Term),Knowing God's Truth (Full Term),Knowing God's Truth (Full Term),,,,,,001.004.000,000.000.000.000.001.000,,"Knowing God's Truth by Jon Nielson
ISBN/ASIN 978-1433587597 

➜ RATIONALE: In his book Knowing God’s Truth, pastor Jon Nielson gives a clear, meaningful, and practical introduction to systematic theology. This set includes a copy of the book and the companion workbook, covering the basic categories of systematic theology―including Scripture, humanity, sin, the church, and more.","Term 1
Term 2
Term 3",https://a.co/d/dxvaFoy,https://www.christianbook.com/Christian/Books/product?event=AFF&amp;p=1226126&amp;item_no=587597,Option 1,Option 2,,,,
rec6Ttj551Xp6CksG,No Connection,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=recS40bb5R9x0TI8z,,,,,The Witch of Blackbird Pond (Full Term),,,,,,,,001.004.000,000.000.000.000.001.000,,"The Witch of Blackbird Pond by Elizabeth George Speare
ISBN/ASIN 978-0547550299 
Alternate Formats: Ebook, Audiobook

➜ RATIONALE: In this Newbery Medal–winning novel, a girl faces prejudice and accusations of witchcraft in seventeenth-century Connecticut. A classic of historical fiction that continues to resonate across the generations.",Term 1,https://a.co/d/c8ySfFy,https://www.christianbook.com/Christian/Books/product?event=AFF&amp;p=1226126&amp;item_no=416397,Option 1,Option 2,,,,
recBo0lwyw8nbdeJz,No Connection,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=,,,,, (Full Term), (Full Term), (Full Term),,,,,,001.004.000,000.000.000.000.001.000,,,"Term 1
Term 2
Term 3",,,,,,,,
recLG2LCpup7r2u2k,No Connection,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=,,,,, (Full Term), (Full Term), (Full Term),,,,,,001.004.000,000.000.000.000.001.000,,,"Term 1
Term 2
Term 3",,,,,,,,
recMdqfQSTkguXivz,No Connection,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=,,,,, (Full Term), (Full Term), (Full Term),,,,,,001.004.000,000.000.000.000.001.000,,,"Term 1
Term 2
Term 3",,,,,,,,
recrmxz1AD0zyz8K3,No Connection,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=recLlhUmtH9rDWtT9,,,,,French: Level 5 Student Notebook (Full Term),French: Level 5 Student Notebook (Full Term),French: Level 5 Student Notebook (Full Term),,,,,,001.004.003,000.000.000.000.001.003,,"French: Level 5 Student Notebook by Alveary ✓SAVE ✓PRINT
Alternate Formats: Ebook

➜ RATIONALE: Contains markable copies of lesson readings, vocabulary lists, and answers to reading questions and grammar exercises.","Term 1
Term 2
Term 3",,,Coming June 1st,,,,,
recd5c92UlIjnH6x3,No Connection,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=recZQPK2k20cAdQoA,,,,,French: Student Notebook Grades 4-6 (Full Term),French: Student Notebook Grades 4-6 (Full Term),French: Student Notebook Grades 4-6 (Full Term),,,,,,001.004.004,000.000.000.000.001.004,,"French: Student Notebook Grades 4-6 by Alveary ✓SAVE ✓PRINT

➜ RATIONALE: This notebook contains markable copies of lesson readings, vocabulary lists, and answers to reading questions and grammar exercises.

NOTE: This notebook is available as a hard copy with French lessons in the print store.","Term 1
Term 2
Term 3",,,Coming June 1st,,,,,
recRvMk6w4ynIUnIH,No Connection,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=,,,,, (Full Term), (Full Term), (Full Term),,,,,,001.004.006,000.000.000.000.001.006,,,"Term 1
Term 2
Term 3",,,,,,,,
rec1J1JN2LuZ1KFpU,No Connection,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=recyhJhzIqtUqGmtl,,,,,Spanish: Grades 4-6 Student Notebook (Full Term),Spanish: Grades 4-6 Student Notebook (Full Term),Spanish: Grades 4-6 Student Notebook (Full Term),,,,,,001.004.007,000.000.000.000.001.007,,"Spanish: Grades 4-6 Student Notebook by Alveary ✓SAVE ✓PRINT
Alternate Formats: Ebook

➜ RATIONALE: This notebook contains markable copies of lesson readings, vocabulary lists, and answers to reading questions and grammar exercises.

NOTE: This notebook is available in hard copy with Spanish lessons in the Alveary print store.","Term 1
Term 2
Term 3",,,Coming June 1st,,,,,
recicBzIluj60Tx2g,No Connection,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=,,,,,, (Full Term - Peter & The Wolf; Carnival of the Animals), (Selections),,,,,,002.004.000,000.000.000.000.002.000,,,"Term 2
Term 3 (Selections)",,,,,,,,
rechqeIMx5miVr1ke,No Connection,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=recMy07RBiIVGGVWT,,,,,,The Age of Walls (Full Term),The Age of Walls (Full Term),,,,,,002.004.000,000.000.000.000.002.000,,"The Age of Walls by Tim Marshall
ISBN/ASIN 978-1501183911 
Alternate Formats: Ebook, Audiobook

➜ RATIONALE: A thought-provoking look at the barriers between people around the globe and how geography, history, and politics all interact.","Term 2
Term 3",https://a.co/d/4CWeNml,https://bookshop.org/a/90084/9781501183911,Option 1,Option 2,,,,
recURJxjgOt9PLYXC,No Connection,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=recKAydTXqBZo6BtD,,,,,,"The Quartet: Orchestrating the Second American Revolution, 1783-1789 (Full Term)","The Quartet: Orchestrating the Second American Revolution, 1783-1789 (Full Term)",,,,,,002.004.000,000.000.000.000.002.000,,"The Quartet: Orchestrating the Second American Revolution, 1783-1789 by Joseph J. Ellis
ISBN/ASIN 978-0804172486 
Alternate Formats: Ebook, Audiobook

➜ RATIONALE: This book focuses on four influential men in the era between the Revolution and the formation of the federal government.","Term 2
Term 3",https://a.co/d/hArfTX3,https://bookshop.org/a/90084/9780804172486,Option 1,Option 2,,,,
recnEwK9NJU01yv3H,No Connection,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=recJreFdlB1ee7Pxf,,,,,,Madeleine Takes Command (Partial Term - Choose this (Canadian focus) OR Johnny Tremain (US focus)),Madeleine Takes Command (Full Term - Choose this (Canadian focus) OR Johnny Tremain (US focus)),,,,,,002.004.000,000.000.000.000.002.000,,"Madeleine Takes Command by Ethel Brill
ISBN/ASIN 978-1883937171 
Alternate Formats: Ebook, Audiobook

➜ RATIONALE: This historical novel, set in 17th century New France, features Madeleine de Vercheres a teenage girl who takes up arms in defense of family, country, and faith against the Iroquois.","Term 2 (Partial Term)
Term 3",https://a.co/d/dOqqgYr,,Option 1,,,,,
reciCIpzIs766RuSR,No Connection,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=recJreFdlB1ee7Pxf,,,,,,Madeleine Takes Command (Full Term - Choose this (Canadian focus) OR Johnny Tremain (US focus)),,,,,,,002.004.000,000.000.000.000.002.000,,"Madeleine Takes Command by Ethel Brill
ISBN/ASIN 978-1883937171 
Alternate Formats: Ebook, Audiobook

➜ RATIONALE: This historical novel, set in 17th century New France, features Madeleine de Vercheres a teenage girl who takes up arms in defense of family, country, and faith against the Iroquois.",Term 2,https://a.co/d/dOqqgYr,,Option 1,,,,,
recUV7jIYVGtyWmpY,No Connection,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=,,,,,,, (Full Term),,,,,,003.004.000,000.000.000.000.003.000,,,Term 3,,,,,,,,
recVUbs0zw5xDJIqg,No Connection,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=,,,,,,, (Full Term - Ch.23-35),,,,,,003.004.000,000.000.000.000.003.000,,,Term 3,,,,,,,,
recpSCeaFSkQVZEzu,No Connection,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=recUtPAbt04mjnM1J,,,,,,,A Revolution in Color,,,,,,003.004.000,000.000.000.000.003.000,,"✓OPTIONAL 
A Revolution in Color by Jane Kamensky
ISBN/ASIN 978-0393240016 
Alternate Formats: Ebook

➜ RATIONALE: For students who want to dive into Copley and his world further, this book gives an interesting picture of the social history of the Revolutionary period. It also helps students to understand the beginning of the art world in America and who Copley was in the greater scheme of things.",Term 3,https://a.co/d/iP5J8lD,https://bookshop.org/a/90084/9780393354867,Option 1,Option 2,,,,
rec6k09woeSgtpP8S,No Connection,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=recweRqHAbMGGRPlf,,,,,,,Thomas Jefferson's Creme Brulee (Full Term),,,,,,003.004.000,000.000.000.000.003.000,,"Thomas Jefferson's Creme Brulee by Thomas J. Craughwell
ISBN/ASIN 978-1594745782 
Alternate Formats: Ebook, Audiobook

➜ RATIONALE: A look at the cultural crossover between nations.",Term 3,https://a.co/d/e8TOfz5,https://bookshop.org/a/90084/9781594745782,Option 1,Option 2,,,,
rec57nYsGu3CphN2s,No Connection,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=,,,,,,, (Full Term),,,,,,003.004.000,000.000.000.000.003.000,,,Term 3,,,,,,,,
rec4allRVQicfo9RG,001.001.000*Castle->Architecture: Grades 7-8,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=recLMliO4oRfCnwLM,R1,,,,Castle,,,,,,,,001.001.000,002.007.001.000.001.000,"G7, G8,","Castle by David Macaulay
ISBN/ASIN 978-0395329207 

➜ RATIONALE: In this Caldecott Honor Book, the author explores the history and construction of castles. As he traces the step-by-step planning and construction of both castle and town, students get a feel for life in the Middle Ages and the architectural knowledge that created these grand structures. 

",Term 1,https://www.amazon.com/Castle-David-Macaulay/dp/0395329205,https://bookshop.org/a/90084/9780395329207,Option 1,Option 2,,,,
reccIzHI4XrHtBILd,001.004.000*What Adults Don't Know About Architecture->Architecture: Grades 7-8,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=recsNvFbIl3uIu8pY,,,,R4,What Adults Don't Know About Architecture (Full Term),What Adults Don't Know About Architecture (Full Term),What Adults Don't Know About Architecture (Full Term),,,,,,001.004.000,002.007.001.000.001.000,"G7, G8,","What Adults Don't Know About Architecture by The School of Life
ISBN/ASIN 978-1912891306 
Alternate Formats: Ebook

➜ RATIONALE: This book is a great introduction to architecture and helps students think about the principles behind design and how architecture affects people and communities. ","Term 1
Term 2
Term 3",https://smile.amazon.com/What-Adults-Dont-About-Architecture/dp/1912891301/,,Option 1,,,,,
